id,Borough
3043,Brooklyn
3044,Brooklyn
3046,Brooklyn
3047,Brooklyn
3048,Brooklyn
3049,Brooklyn
3050,Brooklyn
3051,Brooklyn
3052,Brooklyn
3053,Brooklyn
3054,Brooklyn
3055,Brooklyn
3056,Brooklyn
3057,Brooklyn
3058,Brooklyn
3059,Brooklyn
3060,Brooklyn
3061,Brooklyn
3062,Brooklyn
3063,Brooklyn
3064,Brooklyn
3065,Brooklyn
3066,Brooklyn
3067,Brooklyn
3068,Brooklyn
3069,Brooklyn
3070,Brooklyn
3071,Brooklyn
3072,Brooklyn
3073,Brooklyn
3074,Brooklyn
3075,Brooklyn
3076,Brooklyn
3077,Brooklyn
3078,Brooklyn
3079,Brooklyn
3080,Brooklyn
3081,Brooklyn
3082,Brooklyn
3083,Brooklyn
3084,Brooklyn
3085,Brooklyn
3086,Brooklyn
3087,Brooklyn
3088,Brooklyn
3089,Brooklyn
3090,Brooklyn
3091,Brooklyn
3092,Brooklyn
3093,Brooklyn
3094,Brooklyn
3095,Brooklyn
3096,Brooklyn
3097,Brooklyn
3098,Brooklyn
3099,Brooklyn
3100,Brooklyn
3101,Brooklyn
3102,Brooklyn
3103,Brooklyn
3104,Brooklyn
3105,Brooklyn
3106,Brooklyn
3107,Brooklyn
3108,Brooklyn
3109,Brooklyn
3110,Brooklyn
3111,Brooklyn
3112,Brooklyn
3113,Brooklyn
3114,Brooklyn
3115,Brooklyn
3116,Brooklyn
3117,Brooklyn
3118,Brooklyn
3119,Brooklyn
3120,Brooklyn
3121,Brooklyn
3122,Brooklyn
3123,Brooklyn
3124,Brooklyn
3125,Brooklyn
3126,Brooklyn
3127,Brooklyn
3128,Brooklyn
3129,Brooklyn
3130,Brooklyn
3179,Brooklyn
3180,Brooklyn
3221,Brooklyn
3222,Brooklyn
3229,Brooklyn
3232,Brooklyn
